DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2019-09-18,18.3100,24.5700,17.5000,24.3000,1.751,
2019-09-19,23.5500,24.5000,19.6162,20.6600,0.272,
2019-09-20,20.8200,21.6099,19.6303,21.4000,0.149,
2019-09-23,21.5100,22.5300,20.7500,21.0000,0.206,
2019-09-24,21.0400,21.4900,19.0400,20.7000,0.169,
2019-09-25,20.6600,21.2400,19.1300,19.8300,0.073,
2019-09-26,20.2700,20.5100,17.3050,18.1200,0.175,
2019-09-27,18.0700,18.9000,16.5600,17.9100,0.116,
2019-09-30,17.7800,18.0300,16.5100,17.7500,0.040,
2019-10-01,17.6600,18.1800,17.0900,17.6800,0.255,
2019-10-02,17.6000,18.6400,16.1000,17.5000,0.199,
2019-10-03,17.6600,18.6900,17.3200,18.1700,0.192,
2019-10-04,18.0000,18.9100,17.6100,18.1700,0.042,
2019-10-07,17.9500,18.2500,17.1510,18.1800,0.063,
2019-10-08,17.9800,18.2500,17.0300,17.8900,0.282,
2019-10-09,17.8800,17.8800,17.6508,17.8200,0.027,
2019-10-10,17.8000,18.2700,17.0200,17.4300,0.025,
2019-10-11,17.3300,18.4200,17.1300,17.2500,0.062,
2019-10-14,17.0100,19.5100,17.0100,18.3900,0.185,
2019-10-15,18.7000,19.6000,18.5441,18.9500,0.138,
2019-10-16,18.8100,19.5700,18.2000,18.5800,0.058,
2019-10-17,18.7300,19.4300,18.7000,18.8300,0.024,
2019-10-18,18.7200,19.2900,17.5010,19.0000,0.036,
2019-10-21,19.0000,19.9900,18.7400,19.0300,0.125,
2019-10-22,19.0500,19.4750,18.6500,18.8500,0.088,
2019-10-23,18.8900,21.3900,18.8900,20.9100,0.042,
2019-10-24,21.0900,22.7340,20.4300,21.7700,0.013,
2019-10-25,21.6000,23.7400,21.5900,23.0300,0.041,
2019-10-28,23.0000,25.1300,22.2267,23.6500,0.073,
2019-10-29,23.0201,24.2000,23.0200,23.8000,0.098,
2019-10-30,23.6100,23.8000,22.5100,23.7000,0.032,
2019-10-31,23.6900,24.0100,23.1300,23.2000,0.041,
2019-11-01,23.0700,23.9300,22.4650,22.4800,0.056,
2019-11-04,22.7900,24.0413,22.0900,23.9900,0.049,
2019-11-05,23.7300,23.8950,23.2000,23.8000,0.101,
2019-11-06,23.9500,23.9500,20.4000,23.5900,0.100,
2019-11-07,23.7300,24.0900,22.6100,23.3500,0.044,
2019-11-08,22.8400,24.8000,22.6000,23.8800,0.095,
2019-11-11,23.7000,24.4700,23.1300,23.9800,0.098,
2019-11-12,23.9100,24.3400,23.1800,23.9900,0.073,
2019-11-13,23.9200,26.9200,23.5000,25.4500,0.173,
2019-11-14,25.7500,27.9800,23.5300,26.9000,0.165,
2019-11-15,27.1000,28.9500,27.1000,28.1500,0.308,
2019-11-18,28.1500,28.9800,25.5300,25.5700,0.089,
2019-11-19,25.5700,26.0050,23.5300,24.5100,0.134,
2019-11-20,24.6000,26.0400,23.2400,24.2600,0.132,
2019-11-21,24.2000,24.9500,20.5400,20.7300,0.144,
2019-11-22,20.8100,21.5000,19.4300,20.0600,0.082,
2019-11-25,20.1100,23.0000,19.9550,22.5200,0.251,
2019-11-26,22.8000,24.0800,22.0600,23.0600,0.224,21.274
2019-11-27,23.0400,23.3750,22.3200,22.8400,0.072,21.245
2019-11-29,23.0500,23.0500,21.4006,22.6100,0.081,21.284
2019-12-02,23.0000,23.6360,19.8100,20.0200,0.230,21.257
2019-12-03,20.0300,20.6250,19.6050,19.9000,0.111,21.235
2019-12-04,20.1300,23.0000,19.9500,22.2100,0.127,21.265
2019-12-05,22.5600,23.3000,20.9500,21.5200,0.085,21.299
2019-12-06,21.6400,23.0000,20.3400,22.7200,0.207,21.391
2019-12-09,23.8500,26.9045,23.8000,25.7500,0.144,21.547
2019-12-10,26.0000,28.4300,25.5000,27.3600,0.103,21.740
2019-12-11,27.4700,28.2000,25.0499,26.3300,0.075,21.913
2019-12-12,27.4900,28.3022,26.5550,28.0700,0.102,22.124
2019-12-13,28.1100,30.7099,27.1950,29.0800,0.110,22.342
2019-12-16,29.2900,33.1800,29.2600,30.1400,0.159,22.582
2019-12-17,30.2100,32.0300,28.2200,30.2900,0.158,22.824
2019-12-18,30.2600,40.0000,29.8000,34.3900,0.206,23.154
2019-12-19,35.0000,37.3108,35.0000,36.6900,0.145,23.531
2019-12-20,37.4900,48.1400,35.0000,42.1900,1.237,24.026
2019-12-23,43.5600,48.9300,42.2483,46.0800,0.218,24.603
2019-12-24,46.9300,47.6758,43.9522,46.5300,0.041,25.166
2019-12-26,45.9500,57.4154,45.9500,49.5100,0.242,25.777
2019-12-27,49.2400,49.4651,40.7600,40.9100,0.122,26.224
2019-12-30,40.5000,42.8900,37.9600,42.4800,0.195,26.697
2019-12-31,42.8400,42.8400,35.2400,38.1600,0.234,27.080
2020-01-02,38.0700,38.0700,35.7600,36.3400,0.077,27.426
2020-01-03,35.0200,35.9800,32.4200,33.2900,0.120,27.715
2020-01-06,33.8000,34.9700,32.0001,33.0700,0.108,27.958
2020-01-07,33.1400,33.5100,31.5000,32.8200,0.089,28.179
2020-01-08,32.6100,33.7900,32.1975,33.1500,0.138,28.381
2020-01-09,33.5200,36.8600,33.0400,34.2900,0.189,28.594
2020-01-10,34.4300,35.4200,32.6601,34.3600,0.150,28.805
2020-01-13,34.4400,35.2260,32.0200,32.4200,0.122,28.980
2020-01-14,32.4000,33.1200,31.4800,32.0200,0.125,29.156
2020-01-15,32.0300,33.5900,32.0208,32.5000,0.143,29.357
2020-01-16,32.5500,34.3650,32.5500,33.5500,0.181,29.548
2020-01-17,33.8500,37.1200,33.2000,35.9300,0.226,29.790
2020-01-21,35.9300,39.1800,35.7100,36.2100,0.338,30.043
2020-01-22,36.3300,40.5478,36.3300,39.3700,0.253,30.363
2020-01-23,39.5700,41.4900,38.5100,40.0400,0.217,30.686
2020-01-24,40.7200,41.8900,39.4700,39.8300,0.127,31.003
2020-01-27,38.9500,39.9600,37.5100,39.6700,0.170,31.317
2020-01-28,39.9800,42.5500,39.6300,39.9500,0.131,31.607
2020-01-29,40.0000,41.8600,36.5300,36.8400,0.090,31.806
2020-01-30,35.7700,36.8000,34.2908,35.4100,0.127,31.951
2020-01-31,35.2000,36.1400,33.5050,33.9900,0.036,32.119
2020-02-03,35.1400,39.3300,34.5753,38.8900,0.061,32.407
2020-02-04,38.8400,40.2400,37.9800,39.7600,0.062,32.717
2020-02-05,40.2300,41.4050,39.1131,40.2700,0.038,33.108
2020-02-06,40.9300,40.9300,39.7300,40.5000,0.035,33.517
2020-02-07,39.5500,41.0800,38.4229,40.2700,0.078,33.872
2020-02-10,40.1600,41.3611,39.5800,39.6400,0.207,34.203
2020-02-11,39.5500,43.3600,39.3700,42.9600,0.075,34.606
2020-02-12,43.2100,44.2387,42.2500,42.7700,0.102,35.009
2020-02-13,42.3900,45.3300,42.1300,45.3300,0.051,35.515
2020-02-14,45.9800,46.9600,43.0100,43.2400,0.167,35.982
2020-02-18,43.9900,46.6950,43.4400,45.2700,0.228,36.443
2020-02-19,45.5400,50.0000,45.2700,47.9000,0.148,36.971
2020-02-20,49.1000,50.7900,47.6200,50.4700,0.195,37.526
2020-02-21,50.5400,61.5000,49.8000,60.6900,0.351,38.224
2020-02-24,58.3700,58.3700,51.0100,54.5000,0.234,38.767
2020-02-25,54.4300,55.8373,47.5000,52.0500,0.144,39.282
2020-02-26,52.1800,54.8500,52.1800,53.5000,0.094,39.790
2020-02-27,52.9900,54.8300,47.6100,54.0100,0.163,40.289
2020-02-28,52.0000,53.5100,48.0100,51.4100,0.097,40.714
2020-03-02,52.4600,67.7642,51.5150,62.7300,0.168,41.363
2020-03-03,63.0000,69.8900,60.0000,63.5000,0.334,41.945
2020-03-04,64.4200,74.1300,63.7400,73.7500,0.094,42.686
2020-03-05,71.9500,72.7500,58.5589,58.7100,0.244,43.017
2020-03-06,58.0000,63.7300,54.8000,63.1000,0.140,43.357
2020-03-09,61.6800,61.6800,47.5000,51.8500,0.178,43.464
2020-03-10,52.7500,56.2748,44.7000,50.4100,0.170,43.482
2020-03-11,49.1400,52.9500,43.1756,52.3200,0.154,43.710
2020-03-12,49.4900,49.4900,34.7300,37.0400,0.159,43.601
