DATE,OPEN,HIGH,LOW,CLOSE
2021-04-14,10.3400,10.3400,9.6600,9.7500
2021-04-15,9.7500,9.7500,9.7500,9.7500
2021-04-16,9.7500,9.8300,9.7100,9.8200
2021-04-19,9.8200,9.8300,9.8100,9.8200
2021-04-20,9.8200,9.8200,9.8200,9.8200
2021-04-21,9.8300,9.8300,9.8300,9.8300
2021-04-22,9.8300,9.8300,9.8300,9.8300
2021-04-23,9.8300,9.8300,9.8300,9.8300
2021-04-26,9.8200,9.8500,9.8200,9.8500
2021-04-27,10.0100,10.0100,9.7900,9.9000
2021-04-28,9.9000,9.9000,9.9000,9.9000
2021-04-29,9.9000,9.9000,9.7900,9.7900
2021-04-30,9.7812,9.7812,9.7812,9.7812
2021-05-03,9.7800,9.8200,9.7800,9.8200
2021-05-04,9.7800,9.9600,9.7800,9.8850
2021-05-05,9.8200,9.8300,9.7800,9.7800
2021-05-06,9.7800,9.7850,9.7800,9.7800
2021-05-07,9.7700,9.7700,9.7300,9.7450
2021-05-10,9.7500,9.9000,9.7500,9.9000
2021-05-11,9.7800,9.7803,9.7600,9.7600
2021-05-12,9.7600,9.8900,9.7600,9.7800
2021-05-13,9.7700,9.7700,9.7700,9.7700
2021-05-14,9.7700,9.7700,9.7700,9.7700
2021-05-17,9.7500,9.9000,9.6800,9.7400
2021-05-18,9.7400,9.7400,9.7400,9.7400
2021-05-19,9.7400,9.7400,9.7400,9.7400
2021-05-20,9.7400,9.7400,9.7000,9.7000
2021-05-21,9.7400,9.8000,9.7400,9.8000
2021-05-24,9.8000,9.8000,9.8000,9.8000
2021-05-25,9.7451,9.7451,9.7400,9.7400
2021-05-26,9.7850,9.7850,9.7400,9.7400
2021-05-27,9.7400,9.7500,9.7346,9.7400
2021-05-28,9.7400,9.7400,9.7400,9.7400
2021-06-01,9.7400,9.7400,9.7400,9.7400
2021-06-02,9.7400,9.7400,9.7400,9.7400
2021-06-03,9.7500,9.7500,9.7400,9.7500
2021-06-04,9.7550,9.7550,9.7550,9.7550
2021-06-07,9.7550,9.7550,9.7550,9.7550
2021-06-08,9.7550,9.7550,9.7550,9.7550
2021-06-09,9.7550,9.7550,9.7550,9.7550
2021-06-10,9.7400,9.7800,9.7000,9.7800
2021-06-11,9.7800,9.7800,9.7700,9.7700
2021-06-14,9.7800,9.7800,9.7700,9.7800
2021-06-15,9.7300,9.7800,9.6800,9.7200
2021-06-16,9.7200,9.7200,9.7200,9.7200
2021-06-17,9.7300,9.7400,9.6900,9.7100
2021-06-18,9.6900,9.7300,9.6900,9.7300
2021-06-21,9.7100,9.7100,9.7100,9.7100
2021-06-22,9.7100,9.7300,9.7100,9.7300
2021-06-23,9.7200,9.7200,9.7200,9.7200
2021-06-24,9.7200,9.7200,9.6800,9.6900
2021-06-25,9.6900,9.7600,9.6900,9.7600
2021-06-28,9.7400,9.7600,9.7300,9.7400
2021-06-29,9.7400,9.7400,9.7200,9.7200
2021-06-30,9.7200,9.7400,9.7200,9.7400
2021-07-01,9.7128,9.7400,9.6900,9.7400
2021-07-02,9.7400,9.7550,9.7200,9.7200
2021-07-06,9.7200,9.7200,9.6500,9.6600
2021-07-07,9.6800,9.6990,9.6800,9.6800
