DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,MA50
2021-07-01,11.7500,18.4500,10.6200,17.6600,7.743,
2021-07-02,15.5100,15.9500,11.3000,12.4400,2.892,
2021-07-06,11.5500,12.4000,10.3500,11.3900,1.123,
2021-07-07,11.5900,12.1500,10.0157,10.9300,0.763,
2021-07-08,10.1100,10.3399,9.2208,9.6200,0.471,
2021-07-09,9.9700,10.0700,9.0000,9.7100,0.407,
2021-07-12,9.8000,10.0000,9.0500,9.3000,0.562,
2021-07-13,9.3000,11.2300,9.3000,10.6600,2.686,
2021-07-14,10.2600,10.5222,9.5600,9.8700,0.474,
2021-07-15,9.9200,10.2600,9.1800,9.2500,0.579,
2021-07-16,9.5000,9.8400,8.7800,9.1300,0.415,
2021-07-19,8.6600,9.6500,8.1101,9.5700,0.465,
2021-07-20,9.5700,9.5700,8.7821,9.0000,0.492,
2021-07-21,9.3500,9.4900,8.8800,9.2300,0.354,
2021-07-22,9.3400,9.4000,8.8300,8.9500,0.225,
2021-07-23,8.9100,9.2200,8.6700,8.6800,0.176,
2021-07-26,8.8000,8.9000,8.5200,8.6500,0.150,
2021-07-27,8.5900,8.6900,7.7300,7.9800,0.184,
2021-07-28,8.1800,8.6200,7.7100,8.1200,0.326,
2021-07-29,8.3386,8.9500,7.9100,8.3400,0.477,
2021-07-30,8.3500,9.6300,8.2100,8.9000,0.521,
2021-08-02,9.1000,9.3700,8.8500,9.0500,0.227,
2021-08-03,9.1100,9.1100,8.5000,8.6500,0.223,
2021-08-04,9.1700,10.2500,8.8500,9.6100,1.397,
2021-08-05,9.5400,9.9500,9.1000,9.3900,0.262,
2021-08-06,9.2700,9.5000,8.7600,9.1200,0.196,
2021-08-09,9.4900,9.8900,9.0866,9.4000,0.515,
2021-08-10,9.3600,9.6899,9.0000,9.1000,0.385,
2021-08-11,9.0800,9.4000,8.6350,9.2500,0.173,
2021-08-12,9.1800,9.2643,8.7510,8.8700,0.209,
2021-08-13,9.0100,9.0100,8.1700,8.3000,0.240,
2021-08-16,8.3600,8.6200,8.0100,8.3500,0.166,
2021-08-17,8.2600,8.6199,7.7700,8.0500,0.642,
2021-08-18,8.1100,8.4000,8.0600,8.1300,0.099,
2021-08-19,8.0600,8.2499,7.4400,7.6900,0.220,
2021-08-20,7.7100,8.2700,7.7100,8.2500,0.111,
2021-08-23,8.3000,8.4533,7.9000,8.1200,0.165,
2021-08-24,8.2500,8.2700,7.9087,7.9700,0.066,
2021-08-25,8.0100,8.1500,7.7200,7.9200,0.194,
2021-08-26,8.3000,8.9200,7.9300,8.3100,0.497,
2021-08-27,8.3000,9.2700,8.2600,9.2600,0.427,
2021-08-30,9.3100,10.5000,9.2500,10.2500,0.992,
2021-08-31,10.5300,11.4700,9.8200,10.3900,0.634,
2021-09-01,10.6100,10.9700,10.4100,10.7900,0.301,
2021-09-02,10.9400,11.1999,9.6701,10.2000,0.328,
2021-09-03,10.1400,10.1900,9.8279,9.9100,0.115,
2021-09-07,9.5300,9.8800,9.1915,9.2800,0.160,
2021-09-08,9.4300,9.5000,8.7400,9.0300,0.136,
2021-09-09,9.0300,9.2400,8.5700,8.7300,0.120,
2021-09-10,8.7300,9.5400,8.7300,9.5000,0.148,9.365
